permit_,permit_type,reported_cost,issue_date,street_number,street_direction,street_name,contact_1_city,contact_1_state,work_description,contact_1_zipcode,community_area,ward,address,zip_code
100120576,PERMIT - SIGNS,0,2006-07-05T00:00:00.000,111,N,STATE ST,,,WASHINGTON  387717,,,,"111 N STATE ST, CHICAGO, IL",
100120577,PERMIT - SIGNS,0,2006-07-05T00:00:00.000,111,N,STATE ST,,,WASHINGTON   387718,,,,"111 N STATE ST, CHICAGO, IL",
100120578,PERMIT - SIGNS,0,2006-07-05T00:00:00.000,111,N,STATE ST,,,WASHINGTON 387719,,,,"111 N STATE ST, CHICAGO, IL",
100120579,PERMIT - SIGNS,0,2006-07-05T00:00:00.000,111,N,STATE ST,,,WASHINGTON   387720,,,,"111 N STATE ST, CHICAGO, IL",
100120580,PERMIT - SIGNS,0,2006-07-05T00:00:00.000,111,N,STATE ST,,,WASHINGTON  387722,,,,"111 N STATE ST, CHICAGO, IL",
100120581,PERMIT - SIGNS,0,2006-07-05T00:00:00.000,111,N,STATE ST,,,WASHINGTON  387723,,,,"111 N STATE ST, CHICAGO, IL",
100120582,PERMIT - SIGNS,0,2006-07-21T00:00:00.000,111,N,STATE ST,,,WABASH  387706,,,,"111 N STATE ST, CHICAGO, IL",
100120583,PERMIT - SIGNS,0,2006-07-05T00:00:00.000,111,N,STATE ST,,,STATE ST  387724,,,,"111 N STATE ST, CHICAGO, IL",
100120584,PERMIT - SIGNS,0,2006-07-21T00:00:00.000,111,N,STATE ST,,,WASHINGTON 387716,,,,"111 N STATE ST, CHICAGO, IL",
100120585,PERMIT - SIGNS,0,2006-07-21T00:00:00.000,111,N,STATE ST,,,WASHINGTON387721,,,,"111 N STATE ST, CHICAGO, IL",
100029095,PERMIT - WRECKING/DEMOLITION,11900,2006-03-21T00:00:00.000,5358,N,CENTRAL AVE,CHGO,IL,WRECK AND REMOVE A 2 STORY FRAME,,,,"5358 N CENTRAL AVE, CHICAGO, IL",
100047915,PERMIT - WRECKING/DEMOLITION,11000,2006-05-03T00:00:00.000,8135,S,COTTAGE GROVE AVE,CHICAGO,IL,WRECK AND REMOVE A TWO STORY MOTEL BUILDING.,,,,"8135 S COTTAGE GROVE AVE, CHICAGO, IL",
100052532,PERMIT - EASY PERMIT PROCESS,10000,2006-03-07T00:00:00.000,2046,W,CORTEZ ST,CHICAGO,IL,"EXTERIOR TUCKPOINTING REPAIRS ONLY AS LISTED ON PERMIT APPLICATION: SPOT TUCKPOINTING, LESS THAN 25 BRICK REPLACEMENT, WATER WASH MASONRY. ALL WORK SAME AS EXISTING. ALL WORK SUBJECT TO FIELD INSPECTION.",,,,"2046 W CORTEZ ST, CHICAGO, IL",
100068577,PERMIT - RENOVATION/ALTERATION,15500,2006-03-15T00:00:00.000,4530,N,TROY ST,CHICAGO,IL,DECONVERTION FROM 2DU'S TO A SINGLE FAMILY RESIDENCE AS PER PLANS.,,,,"4530 N TROY ST, CHICAGO, IL",
100068737,PERMIT - SIGNS,0,2006-02-16T00:00:00.000,36,S,STATE ST,,,FACING NORTH-SOUTH 386114,,,,"36 S STATE ST, CHICAGO, IL",
100068740,PERMIT - SIGNS,0,2006-02-16T00:00:00.000,36,S,STATE ST,,,FACING EAST-WEST 386115,,,,"36 S STATE ST, CHICAGO, IL",
100068748,PERMIT - SIGNS,0,2006-01-19T00:00:00.000,10,S,STATE ST,,,ABOVE ENTRANCE (RIGHT) 386117,,,,"10 S STATE ST, CHICAGO, IL",
100068751,PERMIT - SIGNS,0,2006-01-19T00:00:00.000,10,S,STATE ST,,,ABOVE ENTRANCE (LEFT),,,,"10 S STATE ST, CHICAGO, IL",
100068754,PERMIT - SIGNS,0,2006-01-19T00:00:00.000,10,S,STATE ST,,,FRONT FACE OF CANOPY 386119,,,,"10 S STATE ST, CHICAGO, IL",
100068757,PERMIT - SIGNS,0,2006-01-19T00:00:00.000,10,S,STATE ST,,,RIGHT FACE OF CANOPY 38620,,,,"10 S STATE ST, CHICAGO, IL",
100068868,PERMIT - EASY PERMIT PROCESS,1000,2006-01-25T00:00:00.000,3938,W,GRENSHAW ST,CHICAGO,IL,FOR REPAIR OF DRYWALL PATCH,,,,"3938 W GRENSHAW ST, CHICAGO, IL",
100069371,PERMIT - WRECKING/DEMOLITION,8500,2006-04-12T00:00:00.000,5000,W,IRVING PARK RD,CHICAGO,IL,WRECK/REMOVE A ONE STROY DUNKIN DONUTS RESTAURANT.,,,,"5000 W IRVING PARK RD, CHICAGO, IL",
100069374,PERMIT - WRECKING/DEMOLITION,12000,2006-04-12T00:00:00.000,5006,W,IRVING PARK RD,CHICAGO,IL,WRECK/REMOVE 2-1/2 STORY FRAME & MASONRY RESIDENTIAL BUILDING & GARAGE.,,,,"5006 W IRVING PARK RD, CHICAGO, IL",
100071995,PERMIT - RENOVATION/ALTERATION,60000,2006-02-21T00:00:00.000,2434,W,LITHUANIAN PLAZA CT,CHICAGO,ILLINOIS,"INTERIOR GUT REHAB WITH INTERIOR ALTERATIONS TO EXISTING 3 STORY BUILDING, ERECT NEW FRONT YARD PORCH FRONT EGRESS STAIRS AND DECK IN NEW CONFIGURATION PER ARCHITECT'S PLANS.",,,,"2434 W LITHUANIAN PLAZA CT, CHICAGO, IL",
100072291,PERMIT - RENOVATION/ALTERATION,16000,2006-03-02T00:00:00.000,3116,N,KNOX AVE,CHICAGO,IL,NEW ONE STRY MASONRY ADDITION,,,,"3116 N KNOX AVE, CHICAGO, IL",
100088512,PERMIT - EASY PERMIT PROCESS,1200,2006-01-09T00:00:00.000,3142,W,WALNUT ST,CHICAGO,IL,"ERECT A SIX FOOT HIGH WROUGHT IRON FENCE, APROX. SEVENTY - FIVE LINEAR FEET.",,,,"3142 W WALNUT ST, CHICAGO, IL",
100073974,PERMIT - WRECKING/DEMOLITION,4900,2006-08-17T00:00:00.000,5006,N,WESTERN AVE,CHGO,IL,WRECK AND REMOVE A 2 STORY FRAME,,,,"5006 N WESTERN AVE, CHICAGO, IL",
100074794,PERMIT - SIGNS,0,2007-01-30T00:00:00.000,4441,N,BROADWAY,,,"AWNING AT LEAST 12"" APART 386210",,,,"4441 N BROADWAY, CHICAGO, IL",
100074803,PERMIT - SIGNS,0,2007-01-30T00:00:00.000,3015,N,ASHLAND AVE,,,ABOVE FRONT ENTRANCE 386214,,,,"3015 N ASHLAND AVE, CHICAGO, IL",
100075117,PERMIT - RENOVATION/ALTERATION,7500,2006-04-11T00:00:00.000,3019,S,ST LOUIS AVE,CHICAGO,ILL,ERECT NEW THIRD FLOOR  FRAME ADDITION PER PLANS,,,,"3019 S ST LOUIS AVE, CHICAGO, IL",
100075636,PERMIT - SIGNS,0,2009-04-08T00:00:00.000,5407,N,CLARK ST,,,AWNING 386360,,77,48,"5407 N CLARK ST, CHICAGO, IL",
100075759,PERMIT - RENOVATION/ALTERATION,4800,2006-01-13T00:00:00.000,1838,S,MAY ST,CHICAGO,IL,"REPAIR EXISTING WOOD STAIRS AND UPGRADE TO NEW CODE, REMOVE EXISTING PASSWAY PER PLANS",,,,"1838 S MAY ST, CHICAGO, IL",
100076115,PERMIT - RENOVATION/ALTERATION,125000,2006-01-10T00:00:00.000,1025,W,SUNNYSIDE AVE,,,RESET STONE AND REPLACE STEEL AS PER PLANS,,,,"1025 W SUNNYSIDE AVE, CHICAGO, IL",
100076260,PERMIT - SIGNS,0,2006-03-24T00:00:00.000,4311,N,NORMANDY AVE,,,WEST SIDE OF BUILDING 386371,,,,"4311 N NORMANDY AVE, CHICAGO, IL",
100077290,PERMIT - SIGNS,0,2007-02-08T00:00:00.000,2232,W,BELMONT AVE,,,SOUTH ELEVATION.  386381,,,,"2232 W BELMONT AVE, CHICAGO, IL",
100077401,PERMIT - SIGNS,0,2006-01-19T00:00:00.000,2869,S,ARCHER AVE,,,FACING EAST  386385,,,,"2869 S ARCHER AVE, CHICAGO, IL",
100077437,PERMIT - WRECKING/DEMOLITION,8900,2006-03-20T00:00:00.000,5663,W,HIGGINS AVE,CHGO,IL,DEMOLITION OF A 1 STORY FRAME,,,,"5663 W HIGGINS AVE, CHICAGO, IL",
100077438,PERMIT - WRECKING/DEMOLITION,11500,2006-10-23T00:00:00.000,2112,W,RACE AVE,CHGO,IL,WRECK AND REMOVE A 2 STORY FRAME,,,,"2112 W RACE AVE, CHICAGO, IL",
100077439,PERMIT - WRECKING/DEMOLITION,18500,2006-03-09T00:00:00.000,1456,N,WIELAND ST,CHGO,IL,DEMOLITION OF  A 2 STORY BRICK BUILDING.,,,,"1456 N WIELAND ST, CHICAGO, IL",
100077891,PERMIT - SIGNS,0,2006-01-20T00:00:00.000,5207,S,ARCHER AVE,,,POLE SIGN ON PARKING AREA PROJECTING PARTIALLY OVER PUBLIC WAY 386406,,,,"5207 S ARCHER AVE, CHICAGO, IL",
100077983,PERMIT - SIGNS,0,2007-02-22T00:00:00.000,1940,N,DAMEN AVE,,,AWNING 386501,,,,"1940 N DAMEN AVE, CHICAGO, IL",
100078035,PERMIT - RENOVATION/ALTERATION,150000,2006-01-19T00:00:00.000,557,W,37TH ST,DUNDEE,IL,INTERIOR ALTERATIONS TO EXISTING MASONRY MULTIFAMILY BUILDING.,,,,"557 W 37TH ST, CHICAGO, IL",
100078374,PERMIT - SIGNS,0,2007-02-22T00:00:00.000,5240,N,SHERIDAN RD,,,AWNING 386509,,,,"5240 N SHERIDAN RD, CHICAGO, IL",
100078940,PERMIT - EASY PERMIT PROCESS,10325,2006-03-15T00:00:00.000,5935,W,CHICAGO AVE,CHICAGO,IL,"ERECT A SIX FOOT WROUGHT IRON FENCE AND GATE ON NORTH SIDE OF PROPERTY, APROX. 65 LINEAR FEET LONG. ERECT A SIX FOOT HIGH WOODEN FENCE AT REAR AND EAST AND WEST SIDE OF PROPERTY, APROX. 165 LINEAR FEET LONG PER APPROVED LANDSCAPE DRAWINGS.",,,,"5935 W CHICAGO AVE, CHICAGO, IL",
100078950,PERMIT - WRECKING/DEMOLITION,10900,2006-01-31T00:00:00.000,1543,W,MONTANA ST,CHGO,IL,WRECKING\DEMOLITION 2 STORY FRAME DEMOLITION WITH GARAGE,,,,"1543 W MONTANA ST, CHICAGO, IL",
100079106,PERMIT - NEW CONSTRUCTION,280000,2006-01-17T00:00:00.000,4424,N,KILBOURN AVE,,,"ERECT NEW 2 STORY SINGLE FAMILY RESIDENCE W/ BASEMENT, ATTACHED GARAGE AND DRIVEWAY.  CONDITIONAL PERMIT, PENDING WRECKING PERMIT BEING ISSUED WITHIN 30 DAYS OF THIS PERMIT ISSUANCE AND SUBJECT TO FIELD INSPECTION.",,,,"4424 N KILBOURN AVE, CHICAGO, IL",
100079110,PERMIT - NEW CONSTRUCTION,280000,2006-01-17T00:00:00.000,4426,N,KILBOURN AVE,,,"ERECT NEW 2 STORY SINGLE FAMILY RESIDENCE W/ BASEMENT, ATTACHED GARAGE AND DRIVEWAY.  CONDITIONAL PERMIT, PENDING WRECKING PERMIT BEING ISSUED WITHIN 30 DAYS OF THIS PERMIT ISSUANCE AND SUBJECT TO FIELD INSPECTION.",,,,"4426 N KILBOURN AVE, CHICAGO, IL",
100079112,PERMIT - NEW CONSTRUCTION,280000,2006-01-17T00:00:00.000,4430,N,KILBOURN AVE,,,"ERECT NEW 2 STORY SINGLE FAMILY RESIDENCE W/ BASEMENT, ATTACHED GARAGE AND DRIVEWAY.  CONDITIONAL PERMIT, PENDING WRECKING PERMIT BEING ISSUED WITHIN 30 DAYS OF THIS PERMIT ISSUANCE AND SUBJECT TO FIELD INSPECTION.",,,,"4430 N KILBOURN AVE, CHICAGO, IL",
100079113,PERMIT - NEW CONSTRUCTION,280000,2006-01-17T00:00:00.000,4432,N,KILBOURN AVE,,,"ERECT NEW 2 STORY SINGLE FAMILY RESIDENCE W/ BASEMENT, ATTACHED GARAGE AND DRIVEWAY.  CONDITIONAL PERMIT, PENDING WRECKING PERMIT BEING ISSUED WITHIN 30 DAYS OF THIS PERMIT ISSUANCE AND SUBJECT TO FIELD INSPECTION.",,,,"4432 N KILBOURN AVE, CHICAGO, IL",
100079539,PERMIT - RENOVATION/ALTERATION,60000,2006-03-15T00:00:00.000,4123,N,MOBILE AVE,CHICAGO,ILLINOIS,OBTAIN PERMIT TO ADDRESS STOP WORK ORDER #5117 FOR ERECTING 2ND FLOOR ADDITION WITHOUT PERMIT.  HOMEOWNER PLANS.,,,,"4123 N MOBILE AVE, CHICAGO, IL",
100080953,PERMIT - RENOVATION/ALTERATION,15000,2006-02-22T00:00:00.000,1042,W,LAKE ST,CHICAGO,IL,STRUCTURAL REPAIRS TO EXISTING STORAGE BUILDINGS AS PER PLAN,,,,"1042 W LAKE ST, CHICAGO, IL",
100081468,PERMIT - SIGNS,0,2007-01-12T00:00:00.000,954,W,MONROE ST,,,SOUTH BLDG 386651,,,,"954 W MONROE ST, CHICAGO, IL",
100081670,PERMIT - WRECKING/DEMOLITION,10,2006-04-26T00:00:00.000,2136,S,LAWNDALE AVE,CHICAGO,IL,WRECK AND REMOVE A TWO STORY BRICK RESIDENCE.,,,,"2136 S LAWNDALE AVE, CHICAGO, IL",
100081793,PERMIT - WRECKING/DEMOLITION,10000,2006-03-15T00:00:00.000,2931,N,MILWAUKEE AVE,,,WRECK AND REMOVE A BRICK COMMERCIAL BUILDING,,,,"2931 N MILWAUKEE AVE, CHICAGO, IL",
100082094,PERMIT - RENOVATION/ALTERATION,18000,2006-09-15T00:00:00.000,4444,S,TALMAN AVE,CHICAGO,ILLINOIS,ENCLOSE 1ST AND 2ND FLOOR REAR PORCH SPACE FOR HABITABLE AREA WITH MINOR ALTERATIONS PER PLANS.,,,,"4444 S TALMAN AVE, CHICAGO, IL",
100082326,PERMIT - PORCH CONSTRUCTION,8500,2006-04-12T00:00:00.000,2835,W,25TH ST,CHICAGO,ILLINOIS,DEMOLISH EXISTING WOOD PORCH /DECK AND EXTERIOR STAIR SYSTEMS AT THE NORTH AND EAST SIDE AND REPLACE WITH NEW STEEL DECK AND EXTERIOR STAIR SYSTEMS PER STRUCTURAL ENGINEER'S PLANS.,,,,"2835 W 25TH ST, CHICAGO, IL",
100082922,PERMIT - SIGNS,0,2006-02-07T00:00:00.000,70,E,MADISON ST,,,AWNING 386772,,,,"70 E MADISON ST, CHICAGO, IL",
100083160,PERMIT - PORCH CONSTRUCTION,6500,2006-03-29T00:00:00.000,2913,E,78TH PL,CHICAGO,IL,REPLACE EXISTING FRONT WD. WITH NEW FRONT PORCH SAME SIZE AND LOCATION AS PER PLANS,,,,"2913 E 78TH PL, CHICAGO, IL",
100083468,PERMIT - SIGNS,0,2006-02-14T00:00:00.000,2754,N,CLYBOURN AVE,,,SIDE ELEV 386916,,,,"2754 N CLYBOURN AVE, CHICAGO, IL",
100083551,PERMIT - RENOVATION/ALTERATION,10000,2006-03-07T00:00:00.000,2461,W,FOSTER AVE,CHICAGO,IL,NEW STAIRS FROM 3RD FLOOR TO ROOF AND NEW ROOF TOP DECK ON EXISTING 3 STORY MASONRY BUILDING.,,,,"2461 W FOSTER AVE, CHICAGO, IL",
100083610,PERMIT - SIGNS,0,2006-01-31T00:00:00.000,1502,E,63RD ST,,,AWNING WILL FACE SOUTH 386944,,,,"1502 E 63RD ST, CHICAGO, IL",
100083743,PERMIT - RENOVATION/ALTERATION,20000,2006-06-07T00:00:00.000,1452,W,FARGO AVE,CHICAGO,IL,REPLACE EXISTING TOILET FIXTURES AND REMOVE PARTITIONS AND INSTALL NEW REAR WOOD DECK. DECONVERT FROM 4 DU TO 1 DU.,,,,"1452 W FARGO AVE, CHICAGO, IL",
100084062,PERMIT - SIGNS,0,2009-07-23T00:00:00.000,2528,N,CALIFORNIA AVE,,,AWNING 386850,,22,35,"2528 N CALIFORNIA AVE, CHICAGO, IL",
100084173,PERMIT - RENOVATION/ALTERATION,110000,2006-04-03T00:00:00.000,39,S,LA SALLE ST,ARLINGTON HTS,IL,NEW EXHAUST STACK FOR FUTURE KITCHEN HOOD.(EXTERIOR WORK ONLY),,,,"39 S LA SALLE ST, CHICAGO, IL",
100084220,PERMIT - SIGNS,0,2006-01-18T00:00:00.000,3411,W,ADDISON ST,,,DRIVE THRU    386985,,,,"3411 W ADDISON ST, CHICAGO, IL",
100084341,PERMIT - NEW CONSTRUCTION,150000,2006-01-13T00:00:00.000,6504,N,RICHMOND ST,CHICAGO,IL,ERECT 2 UNIT BUILDING STRUCTURE,,,,"6504 N RICHMOND ST, CHICAGO, IL",
100084376,PERMIT - RENOVATION/ALTERATION,21800,2006-02-23T00:00:00.000,2600,N,SAWYER AVE,CHICAGO,IL,REPLACE EXISTING WOOD PORCH W/ NEW OPEN WOOD PORCH AND INTERIOR REHAB. TO EXISTING BUILDING PER PLANS  NO FURNACE WORK.,,,,"2600 N SAWYER AVE, CHICAGO, IL",
100084401,PERMIT - SIGNS,0,2006-04-13T00:00:00.000,1900,S,STATE ST,,,"FRONT OF STORE FACING STATE STREET SIGN WILL BE MOUNTED AT LEAST 12"" FROM OTHER SIGNS.   386083",,,,"1900 S STATE ST, CHICAGO, IL",
100084777,PERMIT - WRECKING/DEMOLITION,11500,2006-01-19T00:00:00.000,5040,W,AGATITE AVE,CHGO,IL,WRECK\REMOVE A 1 STORY FRAME,,,,"5040 W AGATITE AVE, CHICAGO, IL",
100084789,PERMIT - SIGNS,0,2006-01-03T00:00:00.000,1576,N,MILWAUKEE AVE,,,AWNING    386063,,,,"1576 N MILWAUKEE AVE, CHICAGO, IL",
100084793,PERMIT - SIGNS,0,2006-01-03T00:00:00.000,1576,N,MILWAUKEE AVE,,,AWNING    386064,,,,"1576 N MILWAUKEE AVE, CHICAGO, IL",
100084977,PERMIT - NEW CONSTRUCTION,450000,2006-01-27T00:00:00.000,2540,N,BURLING ST,CHICAGO,IL,ERECT A NEW BRICK SINGLE FAMILY DWELLING WITH ATTACHED GARAGE PER PLANS.THIS IS A COND.PERMIT SUBJECT TO REVIEW ON SITE. WRECKING PERMIT MUST BE OBTAINED BEFORE CONSTRUCTION BEGINS.,,,,"2540 N BURLING ST, CHICAGO, IL",
100085101,PERMIT - NEW CONSTRUCTION,33500000,2006-01-19T00:00:00.000,901,W,MADISON ST,CHICAGO,IL,ERECT NEW 10 STORY RESIDENTIAL WITH 148 DU WITH RETAIL AND 2 LEVELS OF PARKING,,,,"901 W MADISON ST, CHICAGO, IL",
100086387,PERMIT - RENOVATION/ALTERATION,2000000,2006-01-24T00:00:00.000,1601,S,INDIANA AVE,CHICAGO,IL,"MASONRY REPAIRS, TUCK-POINTING, COCRETE REPAIRS, STEEL REPAIRS AND CAULKING PER PLANS",,,,"1601 S INDIANA AVE, CHICAGO, IL",
100086436,PERMIT - RENOVATION/ALTERATION,50000,2006-01-24T00:00:00.000,4160,W,OAKDALE AVE,CHIC,IL,ERECT SECOND FLOOR ADDITION TO SFR. AS PER PLANS,,,,"4160 W OAKDALE AVE, CHICAGO, IL",
100086469,PERMIT - WRECKING/DEMOLITION,10900,2006-03-16T00:00:00.000,1831,W,SUPERIOR ST,CHICAGO,IL,WRECK AND REMOVE A TWO STORY FRAME RESIDENCE WITH A GARAGE.,,,,"1831 W SUPERIOR ST, CHICAGO, IL",
100087188,PERMIT - EASY PERMIT PROCESS,7750,2006-01-04T00:00:00.000,2926,W,FULTON ST,CHICAGO,IL,"REMOVE / REPLACE 5/8"" DRYWALL FOR BEDROOMS, KITCHEN, FAMILY ROOM. PLUMBING SEWER REPAIRS TO ADDRESS STOP WORK ORDER. ALL WORK SAME AS EXISTING.",,,,"2926 W FULTON ST, CHICAGO, IL",
100087467,PERMIT - EASY PERMIT PROCESS,1400,2006-01-03T00:00:00.000,2459,S,WESTERN AVE,CHICAGO,IL,REMOVE / REPLACE TWO EXTERIOR WINDOWS AND DOORS. ALL WORK SAME AS EXISTING.,,,,"2459 S WESTERN AVE, CHICAGO, IL",
100087507,PERMIT - EASY PERMIT PROCESS,7500,2006-01-03T00:00:00.000,1000,N,LAKE SHORE DR,CHICAGO,IL,"REMOVE / REPLACE TILES IN KITCHEN, LIVING ROOM, DINNING ROOM, AND STAIRS. REMOVE / REPLACE TWO TOILETS, THREE SINKS, TWO TUBS, REMOVE / REPLACE KITCHEN APPLIANCES. ALL WORK SAME AS EXISTING.  NO ELECTRIC. UNIT#43C AND #44C",,,,"1000 N LAKE SHORE DR, CHICAGO, IL",
100087523,PERMIT - EASY PERMIT PROCESS,7000,2006-01-03T00:00:00.000,3945,N,KOSTNER AVE,CHICAGO,IL,"REMOVE / REPLACE DRYWALL AS NEEDED. ALL WORK SAME AS EXISTING. NO ELECTRICAL, NO PLUMBING.",,,,"3945 N KOSTNER AVE, CHICAGO, IL",
100087636,PERMIT - EASY PERMIT PROCESS,1500,2006-01-03T00:00:00.000,1506,W,BRYN MAWR AVE,CHICAGO,IL,"REMOVE / REPLACE 5/8"" AND 1/2"" DRYWALL. REPLACE PLUMBING FIXTURES ONLY. NEW 200 AMP. SERVICE, NEW LIGHT FIXTURES, SWITCHES, RECEPTACLES AND GFI. ALL WORK SAME AS EXISTING.",,,,"1506 W BRYN MAWR AVE, CHICAGO, IL",
100087703,PERMIT - RENOVATION/ALTERATION,50000,2006-02-08T00:00:00.000,3014,S,BROAD ST,CHICAGO,IL,INTERIOR RENOVATIONS AND REPAIRS TO REAR PORCH.,,,,"3014 S BROAD ST, CHICAGO, IL",
100087853,PERMIT - RENOVATION/ALTERATION,5000,2006-01-14T00:00:00.000,4244,N,RIDGEWAY AVE,CHICAGO,IL 60618,"DECONVERT FROM 3 DWELLING UNITS TO 2 DWELLING UNITS - REMOVAL OF BASEMENT APARTMENT, INTERIOR ALTERATIONS INCLUDING PLUMBING AND ELECTRICAL WORK",,,,"4244 N RIDGEWAY AVE, CHICAGO, IL",
100087855,PERMIT - EASY PERMIT PROCESS,3000,2006-01-04T00:00:00.000,7751,S,HERMITAGE AVE,EVANSTON,IL,ERECT A NEW 6'H X 55'L WROUGHT IRON FENCE AT FRONT AND SOUTH SIDE OF PROPERTY WITH 1 GATE.,,,,"7751 S HERMITAGE AVE, CHICAGO, IL",
100087870,PERMIT - EASY PERMIT PROCESS,2000,2006-01-04T00:00:00.000,10421,S,CORLISS AVE,CHICAGO,IL,"PATCH AND REPAIR DRYWALL AS NEEDED, PAINT, REPLACE INTERIOR WOOD TRIM, REPLACE BROKEN GLASS,( EXISTING WINDOWS SASH  TO REMAIN), ALL WORK SAME AS EXISTING. NO ELECTRICAL WORK.",,,,"10421 S CORLISS AVE, CHICAGO, IL",
100087964,PERMIT - RENOVATION/ALTERATION,200000,2006-03-29T00:00:00.000,558,E,OAKWOOD BLVD,,,REVISION TO PREVIOUSLY PERMITTED 4 STORY; 8 UNIT RESIDENCE.,,,,"558 E OAKWOOD BLVD, CHICAGO, IL",
100088135,PERMIT - RENOVATION/ALTERATION,20000,2006-01-10T00:00:00.000,1108,W,GEORGE ST,CHICAGO,IL 60657,EXCAVATE AND UNDERPIN FOUNDATIONS FOR EXISTING BASEMENT FLOOR TO MORE THAN 50% BELOW GRADE PER HOMEOWNER PLANS. EXCAVATION TO BE DONE FROM INSIDE OF THE BASEMENT ONLY (NO EXTERIOR EXCAVATION).,,,,"1108 W GEORGE ST, CHICAGO, IL",
100088167,PERMIT - EASY PERMIT PROCESS,2000,2006-01-05T00:00:00.000,3135,W,40TH PL,,,"REPAIR/REPLACE: DRYWALL 5/8'' AND 1/2'' GYP BD WITH NO ELECTRICAL WORK,SAME SIZE AND LOCATION.",,,,"3135 W 40TH PL, CHICAGO, IL",
100088311,PERMIT - EASY PERMIT PROCESS,300,2006-01-06T00:00:00.000,2040,S,HALSTED ST,CHICAGO,IL,"ERECT A SIX FOOT HIGH WOODEN FENCE, APROX. TWENTY FEET LONG.",,,,"2040 S HALSTED ST, CHICAGO, IL",
100088343,PERMIT - RENOVATION/ALTERATION,1,2006-03-09T00:00:00.000,7542,N,OZARK AVE,CHICAGO,IL,ALTERATION TO PREVIOUSLY PERMITTED SFR [ORIGINAL PERMIT NO. 100062304] TO CHANGE ROOF STRUCTURE,,,,"7542 N OZARK AVE, CHICAGO, IL",
100088406,PERMIT - EASY PERMIT PROCESS,4956,2006-01-06T00:00:00.000,3202,W,CERMAK RD,CHICAGO,IL,"ERECT A SIX FOOT HIGH WROUGHT IRON WITH WOOD FENCE, APROX. 249 LINEAR FEET.",,,,"3202 W CERMAK RD, CHICAGO, IL",
100088471,PERMIT - EASY PERMIT PROCESS,0,2006-01-09T00:00:00.000,840,N,LOREL AVE,CHICAGO,IL,REPLACE 1 FURNACE,,,,"840 N LOREL AVE, CHICAGO, IL",
100088474,PERMIT - EASY PERMIT PROCESS,0,2006-01-09T00:00:00.000,9334,S,PRAIRIE AVE,CHICAGO,IL,REPLACE 1 FURNACE,,,,"9334 S PRAIRIE AVE, CHICAGO, IL",
100088588,PERMIT - EASY PERMIT PROCESS,10,2006-01-09T00:00:00.000,600,S,PAULINA ST,CHICAGO,IL,REVISION TO PERMIT # 100088585:CORRECT ADDRESS FROM 600 S. PULASKI TO 600 S. PAULINA.,,,,"600 S PAULINA ST, CHICAGO, IL",
100088617,PERMIT - EASY PERMIT PROCESS,12000,2006-01-09T00:00:00.000,2730,N,LINCOLN AVE,CHICAGO,IL,"ERECT A 25' X 20' THREE CAR METAL CARPORT, 15' HIGH.",,,,"2730 N LINCOLN AVE, CHICAGO, IL",
100088627,PERMIT - RENOVATION/ALTERATION,500000,2006-04-17T00:00:00.000,1825,W,WABANSIA AVE,CHICAGO,IL,ALTERATION / ADDITION TO EXISTING 2 UNIT 2 STORY MASONRY STRUCTURE PER PLANS. CONDITIONAL PERMIT SUBJECT TO FIELD INSPECTION.,,,,"1825 W WABANSIA AVE, CHICAGO, IL",
100088650,PERMIT - RENOVATION/ALTERATION,11400,2006-01-26T00:00:00.000,8227,S,PEORIA ST,CHICAGO,IL,HVAC INSTALL 2 FURNACES AND TWO AIR CONDENSING UNITS AS PER PLANS.,,,,"8227 S PEORIA ST, CHICAGO, IL",
100088717,PERMIT - RENOVATION/ALTERATION,4000,2006-01-23T00:00:00.000,4827,N,KEDVALE AVE,CHICAGO,IL,INTERIOR ALTERATIONS TO DECONVERT FROM 3 DWELLING UNITS TO 2 DWELLING UNITS - REMOVAL OF BASEMENT APARTMENT AND NEW BATHROOM AS PER PLANS,,,,"4827 N KEDVALE AVE, CHICAGO, IL",
100088823,PERMIT - SIGNS,0,2006-01-10T00:00:00.000,2300,W,TOUHY AVE,,,FRONT OF BUILDING  386395,,,,"2300 W TOUHY AVE, CHICAGO, IL",
100088874,PERMIT - SIGNS,0,2006-01-10T00:00:00.000,3746,N,SOUTHPORT AVE,,,"FRONT OF BUILDING, CENTERED  386399",,,,"3746 N SOUTHPORT AVE, CHICAGO, IL",
100088881,PERMIT - SIGNS,0,2006-01-10T00:00:00.000,3530,N,SOUTHPORT AVE,,,AWNING  386400,,,,"3530 N SOUTHPORT AVE, CHICAGO, IL",
100088887,PERMIT - SIGNS,0,2006-01-10T00:00:00.000,3425,N,SOUTHPORT AVE,,,AWNING  38641,,,,"3425 N SOUTHPORT AVE, CHICAGO, IL",
100088892,PERMIT - EASY PERMIT PROCESS,2400,2006-01-10T00:00:00.000,3617,N,MARSHFIELD AVE,CHICAGO,IL,"REPAIR / REPLACE 5/8"" DRYWALL AS NEEDED, INSTALL NEW HARDWOOD FLOORING THROUGH OUT. ALL WORK SAME AS EXISTING. NO ELECTRICAL, NO PLUMBING.",,,,"3617 N MARSHFIELD AVE, CHICAGO, IL",
100088909,PERMIT - SCAFFOLDING,10,2006-01-10T00:00:00.000,6522,S,PULASKI RD,HOMERGLEN,IL,ERECT TWO WERNER MOBILE SCAFFOLDS FROM 01/17/2006 - 01/17/2007.,,,,"6522 S PULASKI RD, CHICAGO, IL",
