zip_code,retail_establishments,retail_sales,retail_sqft,population,housing_units,occupied_housing_units,renter_occupied_units,retail_sqft_per_housing_unit,retail_establishments_per_housing_unit,retail_sqft_per_capita,retail_establishments_per_capita,cluster,retail_gap,retail_gap_score
60646,36,0.0,298998,28499.0,11636.0,11080.0,2315.0,25.695943623238225,0.0030938466827088347,10.491526018456788,0.0012632022176216708,0,35.04440926091883,0.7757081123379254
60647,308,0.0,860937,85589.0,41975.0,38440.0,23711.0,20.510708755211436,0.007337701012507445,10.058967858019138,0.0035985932771734684,3,35.476967421356484,0.785282788618277
60649,62,0.0,638776,48720.0,28249.0,24326.0,18227.0,22.612340259832205,0.002194767956387837,13.111165845648605,0.0012725779967159277,3,32.424769433727015,0.7177223762900826
60651,108,0.0,717611,63892.0,22885.0,20880.0,11326.0,31.357264583788506,0.004719248415993009,11.231625242596882,0.0016903524697927752,3,34.30431003677874,0.7593260136178106
60652,55,0.0,294806,41431.0,13709.0,13353.0,1830.0,21.504559048800058,0.004011962944051353,7.115589775771765,0.001327508387439357,0,38.420345503603855,0.850434471988872
60653,58,0.0,804824,34608.0,18279.0,16833.0,11631.0,44.02997975819246,0.0031730401006619616,23.255432269995378,0.001675913083680074,0,22.280503009380244,0.49317900617659505
60654,245,0.0,40535,24303.0,17960.0,15955.0,10462.0,2.25695991091314,0.013641425389755012,1.6679010821709255,0.010081059951446324,0,43.86803419720469,0.9710190788417076
60655,27,0.0,385713,27794.0,11277.0,10817.0,1794.0,34.20351157222665,0.0023942537909018356,13.877563502914297,0.0009714326833129452,0,31.658371776461323,0.7007581616676732
60656,23,0.0,848688,28726.0,12840.0,12392.0,4430.0,66.09719626168224,0.0017912772585669781,29.544245631135556,0.000800668384042331,0,15.991689648240065,0.3539761020872462
60657,319,0.0,361279,71268.0,42246.0,39636.0,24596.0,8.551791885622308,0.007551010746579558,5.069301790424875,0.0044760621877981705,1,40.46663348895075,0.8957290631630306
60659,156,0.0,923910,42008.0,14748.0,13612.0,7426.0,62.646460537021966,0.010577705451586655,21.993667872786137,0.003713578366025519,0,23.542267406589485,0.5211081651898669
60660,75,0.0,831654,42750.0,23508.0,21349.0,13365.0,35.37748851454824,0.0031904032669729456,19.453894736842106,0.0017543859649122807,3,26.082040542533516,0.5773260517686194
60661,168,0.0,611661,11516.0,8049.0,7475.0,5232.0,75.99217294073797,0.02087215803205367,53.114015283084406,0.014588398749565822,0,-7.578080003708784,-0.1677408253926034
